,0,1
const,-1179.3722791348866,-948.2108322765982
average_playtime,0.000857907212180504,0.0010711490736390837
achievements,-0.0002269262354095266,0.0006368617571078315
release_year,0.47755800461838255,0.5921815249472868
self_published,-1.3323849022188603,-0.7698815985886182
english,-2.8445547570373075,-0.63450082638815
is_mac,-0.674317295725108,-0.09716599686560451
is_multiplayer,2.2085153667185202,2.899538642799753
is_indie,-3.833387544053764,-3.2277538220572444
is_action,-0.14175588337948536,0.402094944776707
is_early_access,-0.4983696730115917,0.29680584475233746
